project_id;project_name;app_id;app_name;first_seen_at;last_seen_at;last_seen_app_version;last_seen_ip_country;last_seen_platform;last_seen_platform_version;last_seen_sdk_version;last_seen_locale;price_experiment_id;price_experiment_variant;email;phone_number;media_source;campaign;ad_group;ad;keyword;creative;idfa;idfv;gps_ad_id;custom_attributes;has_made_sandbox_purchase;latest_entitlement;latest_entitlements;latest_product;is_rc_promo;first_purchase_at;trial_start_at;trial_end_at;most_recent_purchase_at;most_recent_renewal_at;latest_expiration_at;subscription_opt_out_at;trial_opt_out_at;total_renewals;total_spent;latest_store;latest_store_country;latest_auto_renew_intent;all_purchased_product_ids;most_recent_billing_issues_at;status;has_made_a_non_subscription_purchase;latest_offer;latest_offer_type;latest_purchased_offering;latest_ownership_type;app_user_id;currency
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1748540110818;1753810510818;1.17.3;BE;android;Version 20.1;5.39.0;en-GB;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1748626510818;;;1753810510818;1753810510818;1753810510818;;;2;27;play_store;BE;f;product_monthly;;expired;f;no_offer;;default;PURCHASED;$RCAnonymousID:aff08813c4e4323a19c2a8c7f629a851;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1756143310818;1756575310818;1.17.7;PH;android;Version 20.1;5.39.0;de-DE;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1756488910818;;;1756488910818;;1756488910818;;;0;9;play_store;IN;f;product_monthly;;expired;f;no_offer;;default;PURCHASED;$RCAnonymousID:43963b70d3d06cfa970335b96736a174;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1740335710818;1743356110818;1.17.6;NG;android;Version 22.0;5.39.0;en-GB;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1740767710818;;;1743356110818;1743356110818;1743356110818;;;1;18;play_store;NG;f;product_monthly;;expired;f;no_offer;;default;PURCHASED;$RCAnonymousID:5c855dfab9ecd94e8eddda89170a8d43;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1755020110818;1761068110818;1.17.3;ZM;iOS;Version 20.1;5.39.0;en-GB;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1755624910818;1755020110818;1755624910818;1760808910818;1760808910818;1760808910818;;;2;27;app_store;ZM;f;product_monthly;;cancelled;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:486e498059d134166ef171122afa5b6b;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1759340110818;1760117710818;1.17.7;IT;iOS;Version 22.0;5.36.0;en-US;;;;;;;;;;;;;;;f;;;product_yearly;FALSE;1759944910818;1759340110818;1759944910818;1759944910818;;1791480910818;;;0;59;app_store;IT;f;product_yearly;;active;f;Free Trial (product_yearly);|free_trial;default;PURCHASED;$RCAnonymousID:da6ab84488b31204a74cf87fe6971b87;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1735238110818;1761676510818;1.17.3;ZA;iOS;Version 22.0;5.41.0;fr-CA;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1735497310818;;;1761413710818;1761413710818;1761413710818;;;10;99;app_store;ZA;f;product_monthly;;cancelled;f;no_offer;;default;PURCHASED;$RCAnonymousID:4404e2adb0c569de7fd7c1cd87e1b154;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1763404510818;1763577310818;1.17.6;ZM;iOS;Version 22.0;5.36.0;fr-CA;;;;;;;;;;;;;;;f;;;product_yearly;FALSE;;1763404510818;1764009310818;;;1764009310818;;;0;0;app_store;ZM;f;product_yearly;;expired;f;Free Trial (product_yearly);|free_trial;default;PURCHASED;$RCAnonymousID:ac5b856100de97644b34e11037eba0ac;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1741718110818;1742236510818;1.17.6;PH;iOS;Version 22.0;5.39.0;en-GB;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;;1741718110818;1742322910818;;;1742322910818;;;0;0;app_store;PH;f;product_monthly;;expired;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:fae8c34906fc1cac131fdbe8bc0dacb1;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1762367710818;1762626910818;1.17.7;AE;android;Version 20.1;5.41.0;de-DE;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;;1762367710818;1762972510818;;;1762972510818;;;0;0;play_store;AE;f;product_monthly;;expired;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:2c6ca036bfae91584565be73388ff5ed;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1747503310818;1748280910818;1.17.6;US;android;Version 22.0;5.36.0;en-GB;;;;;;;;;;;;;;;f;;;product_yearly;FALSE;1748021710818;;;1748021710818;;1779557710818;;;0;59;play_store;US;f;product_yearly;;active;f;no_offer;;default;PURCHASED;$RCAnonymousID:988463eeb7b03843b5cb5f0670fc31c0;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1757612110818;1758216910818;1.17.7;DE;android;Version 20.1;5.36.0;en-US;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;;1757612110818;1758216910818;;;1758216910818;;;0;0;play_store;DE;f;product_monthly;;expired;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:fb92bd99bdbc4041c0af3bf32271eed9;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1749922510818;1758216910818;1.17.3;KE;android;Version 22.0;5.41.0;en-GB;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1750354510818;;;1758130510818;1758130510818;1758130510818;;;3;36;play_store;KE;f;product_monthly;;cancelled;f;no_offer;;default;PURCHASED;$RCAnonymousID:3821f53ac9b88e2cced5698c267a6fca;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1762281310818;1762626910818;1.17.7;NG;iOS;Version 20.1;5.36.0;de-DE;;;;;;;;;;;;;;;f;;;product_yearly;FALSE;;1762281310818;1762886110818;;;1762886110818;;;0;0;app_store;DE;f;product_yearly;;expired;f;Free Trial (product_yearly);|free_trial;default;PURCHASED;$RCAnonymousID:04a3bce8ee7908f089641722573fe672;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1732473310818;1753637710818;1.17.7;KE;android;Version 22.0;5.39.0;fr-CA;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1732732510818;;;1753464910818;1753464910818;1753464910818;;;8;81;play_store;KE;f;product_monthly;;expired;f;no_offer;;default;PURCHASED;$RCAnonymousID:e35dfe85c364786248dc1ac0537f835b;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1748280910818;1756834510818;1.17.3;AE;android;Version 17.4.1;5.39.0;de-DE;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1748885710818;1748280910818;1748885710818;1756661710818;1756661710818;1756661710818;;;3;36;play_store;AE;f;product_monthly;;expired;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:b07344ab01c17f31c0a6be7790a9b819;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1749922510818;1750181710818;1.17.3;NG;iOS;Version 22.0;5.39.0;en-US;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;;1749922510818;1750527310818;;;1750527310818;;;0;0;app_store;NG;f;product_monthly;;expired;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:76fd70349f178e7b5dd5a27dacab1b9d;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1737570910818;1738089310818;1.17.6;ZA;iOS;Version 20.1;5.41.0;de-DE;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;;1737570910818;1738175710818;;;1738175710818;;;0;0;app_store;ZA;f;product_monthly;;expired;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:5c9a545ffc0285f347f6367a17194859;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1745516110818;1750872910818;1.17.7;RE;iOS;Version 22.0;5.39.0;de-DE;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1745688910818;;;1750872910818;1750872910818;1750872910818;;;2;27;app_store;TH;f;product_monthly;;expired;f;no_offer;;default;PURCHASED;$RCAnonymousID:0afeaa5de9aac94623cb81d6c0354e72;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1765132510818;1765305310818;1.17.3;MA;android;Version 20.1;5.41.0;fr-CA;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;;1765132510818;1765737310818;;;1765737310818;;;0;0;play_store;FR;f;product_monthly;;expired;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:3d15c6c487d539f597f461505cc0f82d;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1732214110818;1732818910818;1.17.7;MU;android;Version 22.0;5.39.0;fr-CA;;;;;;;;;;;;;;;f;;;product_yearly;FALSE;1732818910818;;;1732818910818;;1732818910818;;;0;59;play_store;MU;f;product_yearly;;cancelled;f;no_offer;;default;PURCHASED;$RCAnonymousID:f7929792e00489249526ab4664c96015;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1746552910818;1751996110818;1.17.6;SN;android;Version 17.4.1;5.39.0;en-GB;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1746725710818;;;1751909710818;1751909710818;1751909710818;;;2;27;play_store;SN;f;product_monthly;;cancelled;f;no_offer;;default;PURCHASED;$RCAnonymousID:a383ed73e199178c43ca5c5a7bdf694f;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1755020110818;1755106510818;1.17.3;NO;android;Version 20.1;5.41.0;de-DE;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;;1755020110818;1755624910818;;;1755624910818;;;0;0;play_store;NO;f;product_monthly;;expired;f;Free Trial (product_monthly);|free_trial;default;PURCHASED;$RCAnonymousID:db544ba8e15160481354cf5e9b3bc6eb;USD
e7a79aa9;CompanyApp;app17b3eaa5d6;CompanyApp (Apple) (App Store);1746034510818;1746293710818;1.17.6;MU;iOS;Version 22.0;5.36.0;fr-CA;;;;;;;;;;;;;;;f;;;product_yearly;FALSE;1746207310818;;;1746207310818;;1777743310818;;;0;59;app_store;MU;f;product_yearly;;active;f;no_offer;;default;PURCHASED;$RCAnonymousID:041e87751383ef6e21a025b87bac336b;USD
e7a79aa9;CompanyApp;app1aeda96dc5;CompanyApp google (Play Store);1756661710818;1762108510818;1.17.3;CM;android;Version 22.0;5.41.0;fr-CA;;;;;;;;;;;;;;;f;;;product_monthly;FALSE;1756834510818;;;1762022110818;1762022110818;1762022110818;;;2;27;play_store;GB;f;product_monthly;;cancelled;f;no_offer;;default;PURCHASED;$RCAnonymousID:1ed5b969b91e79fce55a0be8496727cb;USD
